sl_no,state,start_date,physical_progress,report_month
23,"Multi-States (Arunachal
Pradesh, Sikkim)","10/2014
10/2014",83.4,
24,"Multi-States (Mizoram,
Manipur, Tripura,
Assam, Meghalaya,
Nagaland)","12/2014
03/2016",98.5,
25,Assam,"03/2023
03/2023",82.4,
26,Assam,"03/2023
03/2023",75.5,
27,Assam,"01/2019
01/2019",92.4,
28,Mizoram,"07/2024
07/2024",32.0,
29,Tripura,"06/2022
06/2022",97.0,
30,Assam,"04/2023
04/2023",99.0,
31,Assam,"08/2021
08/2021",76.3,
32,Assam,"09/2023
09/2023",55.7,
33,Assam,"01/2023
01/2023",54.1,
34,Assam,"07/2020
07/2020",84.6,
35,Assam,"01/2018
01/2018",94.3,
36,Assam,"06/2022
06/2022",56.0,
37,Assam,"05/2021
05/2021",94.9,
38,Assam,"04/2022
04/2022",81.2,
39,Assam,"12/2020
12/2020",92.4,
40,Assam,"12/2024
12/2024",24.0,
41,Assam,"12/2022
12/2022",60.6,
42,Assam,"10/2025
10/2025",5.7,
43,"Multi-States (Arunachal
Pradesh, Meghalaya,
Assam, Nagaland,
Sikkim, Tripura,
Mizoram, Manipur)","04/2020
04/2020",87.6,
44,Nagaland,"08/2023
08/2023",41.0,
45,Tripura,"03/2022
03/2022",68.9,
46,Sikkim,"10/2018
12/2018",92.0,
47,Assam,"12/2017
10/2021",98.0,
48,Assam,"09/2016
09/2016",95.13,
49,Assam,"09/2020
09/2018",89.0,
50,Assam,"09/2018
01/2022",0.0,
51,Assam,"09/2018
01/2022",0.0,
52,Assam,"09/2025
09/2025",0.0,
53,Manipur,"03/2013
12/2007",72.1,
54,Meghalaya,"04/2011
03/2010",2.04,
55,"Multi-States (Arunachal
Pradesh, Assam)","02/2011
03/2023",68.0,
56,"Multi-States (Assam,
Nagaland)","08/2015
02/2016",43.0,
57,"Multi-States
(Meghalaya, Assam)","08/2010
03/2007",86.16,
58,"Multi-States (Nagaland,
Assam)","02/2024
01/2025",10.0,
59,Sikkim,"10/2009
05/2010",93.0,
60,Arunachal Pradesh,"03/2019
11/2020",96.61,
61,Arunachal Pradesh,"06/2020
12/2021",51.37,
62,Arunachal Pradesh,"12/2023
02/2026",0.0,
63,Arunachal Pradesh,"08/2020
06/2025",17.91,
64,Arunachal Pradesh,"02/2024
07/2025",1.7,
65,Arunachal Pradesh,"02/2024
03/2025",16.75,
121,Assam,"09/2021
07/2022",0.0,
122,Assam,"03/2018
11/2019",100.0,
123,Assam,"01/2024
01/2025",36.56,
124,Assam,"01/2023
12/2023",20.45,
125,Assam,"01/2023
05/2023",83.39,
126,Manipur,"01/2023
12/2023",90.52,
127,Manipur,"12/2021
02/2023",95.0,
128,Manipur,"12/2021
11/2022",89.95,
129,Manipur,"09/2021
06/2022",84.86,
130,Manipur,"09/2021
11/2021",86.73,
131,Manipur,"09/2021
11/2021",84.87,
132,Manipur,"03/2021
06/2021",100.0,
133,Manipur,"07/2021
09/2021",95.28,
134,Manipur,"03/2023
05/2025",14.08,
135,Manipur,"03/2023
12/2024",22.55,
136,Manipur,"03/2023
12/2024",23.56,
137,Manipur,"03/2020
07/2020",88.85,
157,Meghalaya,"03/2023
09/2024",68.85,
158,Meghalaya,"12/2023
05/2025",2.5,
159,Meghalaya,"03/2023
09/2025",24.13,
160,Meghalaya,"03/2023
03/2025",38.75,
161,Meghalaya,"03/2023
09/2024",46.51,
162,Meghalaya,"03/2023
09/2024",50.91,
163,Meghalaya,"09/2021
05/2022",80.49,
164,Meghalaya,"07/2020
05/2024",38.77,
165,Meghalaya,"07/2020
04/2024",49.05,
166,Meghalaya,"07/2020
02/2024",49.31,
167,Meghalaya,"07/2020
10/2023",93.06,
168,Mizoram,"12/2021
07/2025",17.86,
169,Mizoram,"12/2021
07/2025",17.12,
170,Mizoram,"11/2021
07/2025",11.86,
171,Mizoram,"12/2021
07/2025",6.72,
172,Mizoram,"02/2024
10/2025",18.9,
173,Mizoram,"02/2024
11/2025",13.95,
174,Mizoram,"01/2024
12/2025",0.0,
175,Mizoram,"02/2023
10/2025",15.1,
176,Mizoram,"09/2021
09/2023",95.31,
177,Mizoram,"03/2020
07/2020",0.0,
178,Mizoram,"03/2020
07/2020",0.0,
179,Mizoram,"03/2021
06/2021",64.78,
180,Mizoram,"06/2021
07/2021",61.34,
181,Mizoram,"12/2021
11/2023",75.35,
182,Mizoram,"09/2019
10/2019",95.35,
183,Mizoram,"02/2023
12/2024",4.71,
184,Mizoram,"09/2019
10/2019",99.88,
185,Mizoram,"09/2019
10/2019",97.51,
186,Mizoram,"09/2019
03/2020",99.82,
187,Mizoram,"09/2019
10/2020",100.0,
188,Mizoram,"09/2019
12/2019",98.73,
189,"Multi-States (Arunachal
Pradesh, Assam)","03/2023
09/2024",96.7,
190,Nagaland,"03/2021
07/2022",100.0,
191,Nagaland,"03/2021
09/2023",99.5,
192,Nagaland,"07/2020
10/2020",45.52,
193,Nagaland,"07/2020
06/2023",37.38,
194,Nagaland,"07/2020
10/2020",69.82,
195,Nagaland,"07/2020
11/2023",25.61,
196,Nagaland,"03/2018
08/2023",100.0,
197,Nagaland,"03/2020
11/2023",93.04,
198,Nagaland,"03/2020
01/2024",40.88,
199,Nagaland,"01/2021
09/2023",96.53,
200,Nagaland,"02/2021
06/2023",93.37,
201,Nagaland,"03/2016
09/2023",82.59,
202,Nagaland,"02/2017
09/2017",0.0,
203,Nagaland,"06/2020
06/2024",44.46,
204,Nagaland,"02/2021
06/2023",0.0,
205,Nagaland,"12/2022
08/2023",87.0,
206,Nagaland,"12/2022
08/2023",85.67,
207,Nagaland,"12/2022
08/2023",54.66,
208,Nagaland,"03/2018
09/2023",75.05,
209,Sikkim,"10/2020
05/2021",77.07,
210,Sikkim,"01/2021
04/2021",97.57,
211,Sikkim,"03/2018
01/2023",85.15,
212,Sikkim,"01/2021
02/2021",81.83,
213,Sikkim,"10/2020
12/2020",60.88,
214,Sikkim,"07/2020
10/2020",80.46,
215,Sikkim,"07/2020
10/2020",65.1,
216,Sikkim,"10/2021
05/2022",90.0,
217,Tripura,"12/2023
09/2024",43.8,
218,Tripura,"02/2020
09/2024",41.9,
219,Tripura,"02/2020
07/2020",0.0,
220,Tripura,"01/2023
05/2023",69.78,
221,Tripura,"03/2023
03/2024",9.2,
222,Tripura,"01/2024
12/2024",8.65,
223,Tripura,"01/2024
09/2024",14.0,
224,Tripura,"01/2024
09/2024",57.95,
225,Tripura,"01/2024
07/2024",58.12,
226,Meghalaya,"09/2019
09/2020",99.84,
227,"Multi-States (Assam,
Arunachal Pradesh)","12/2020
10/2021",99.43,
228,Assam,"04/1996
12/1996",55.44,
229,Manipur,"04/1997
04/1997",98.9,
1,Andhra Pradesh,"03/2023
01/2024",65.0,
2,Andhra Pradesh,"06/2020
09/2020",87.2,
3,Andhra Pradesh,"12/2022
08/2023",90.0,
4,Assam,"12/2016
03/2018",98.0,
5,Bihar,"08/2024
04/2025",1.28,
6,Bihar,"07/2024
07/2024",65.0,
7,Bihar,"10/2018
10/2018",98.22,
8,Goa,"11/2017
12/2019",100.0,
9,Gujarat,"01/2024
07/2025",33.13,
10,Gujarat,"06/2022
07/2022",82.0,
11,"Jammu and
Kashmir","10/2023
12/2023",51.35,
12,Karnataka,"06/2023
01/2024",77.0,
13,Karnataka,"06/2023
02/2024",87.0,
14,Kerala,"06/2023
02/2024",59.0,
15,Ladakh,"07/2018
09/2018",78.9,
16,Manipur,"11/2021
07/2022",50.69,
17,"Multi-States
(Karnataka,
Maharashtra,
Telangana, Uttar
Pradesh)","12/2020
10/2022",78.0,
18,Rajasthan,"08/2025
10/2025",12.8,
19,Rajasthan,"06/2022
05/2023",97.35,
20,Rajasthan,"06/2023
11/2023",68.71,
21,Sikkim,"11/2023
12/2023",34.25,
22,Tamil Nadu,"05/2018
06/2023",38.0,
23,Uttar Pradesh,"07/2024
07/2024",27.0,
24,Uttar Pradesh,"06/2024
07/2024",40.03,
25,West Bengal,"08/2024
09/2024",34.6,
26,West Bengal,"03/2023
12/2023",64.5,
27,Assam,"07/2022
07/2022",88.18,
28,Assam,"11/2022
11/2022",3.26,
29,Chhattisgarh,"12/2020
12/2020",11.81,
30,Chhattisgarh,"08/2020
08/2020",55.95,
31,Chhattisgarh,"12/2020
12/2020",38.0,
32,Chhattisgarh,"03/2016
03/2016",78.48,
33,Chhattisgarh,"02/2015
02/2015",42.47,
34,Chhattisgarh,"07/2015
07/2015",78.86,
35,Chhattisgarh,"07/2016
07/2016",96.15,
36,Chhattisgarh,"05/2018
05/2018",54.6,
37,Chhattisgarh,"01/2023
01/2023",2.01,
38,Chhattisgarh,"10/2022
10/2022",40.34,
39,Chhattisgarh,"11/2024
11/2024",22.0,
40,Chhattisgarh,"01/2025
01/2025",21.29,
41,Chhattisgarh,"09/2025
09/2025",0.01,
42,Chhattisgarh,"12/2024
12/2024",0.0,
43,Jharkhand,"08/2022
08/2022",63.22,
44,Jharkhand,"01/2022
01/2022",53.47,
45,Jharkhand,"01/2022
01/2022",23.57,
46,Jharkhand,"03/2024
03/2024",16.77,
47,Jharkhand,"08/2020
08/2020",24.86,
48,Jharkhand,"08/2020
08/2020",47.95,
49,Jharkhand,"03/2016
11/2019",87.0,
50,Jharkhand,"08/2020
08/2020",40.21,
51,Jharkhand,"07/2021
07/2021",71.38,
52,Jharkhand,"01/2021
01/2021",22.84,
53,Jharkhand,"11/2020
11/2020",10.19,
54,Jharkhand,"05/2021
05/2021",28.85,
55,Jharkhand,"02/2020
02/2020",44.45,
56,Jharkhand,"12/2009
12/2009",78.25,
57,Jharkhand,"08/2018
08/2018",53.03,
58,Jharkhand,"08/2020
08/2020",32.23,
59,Jharkhand,"08/2011
08/2011",82.45,
60,Jharkhand,"10/2015
04/2016",51.81,
61,Jharkhand,"01/2023
01/2023",29.7,
62,Jharkhand,"02/2011
02/2011",70.47,
63,Jharkhand,"11/2020
11/2020",22.76,
64,Jharkhand,"05/2020
05/2020",63.52,
65,Jharkhand,"11/2019
11/2019",31.27,
66,Jharkhand,"12/2023
12/2023",0.05,
67,Jharkhand,"02/2020
02/2020",34.18,
68,Jharkhand,"03/2024
03/2024",4.17,
69,Jharkhand,"06/2025
07/2025",26.0,
70,Jharkhand,"10/2023
12/2023",40.0,
71,Madhya Pradesh,"03/2016
03/2016",75.15,
72,Madhya Pradesh,"07/2019
07/2019",50.0,
73,Madhya Pradesh,"11/2020
11/2020",48.76,
74,Madhya Pradesh,"12/2014
12/2014",58.2,
75,Madhya Pradesh,"01/2024
01/2024",41.29,
76,Madhya Pradesh,"12/2021
12/2021",17.78,
77,Madhya Pradesh,"09/2022
09/2022",67.13,
78,Madhya Pradesh,"11/2022
11/2022",11.2,
79,Madhya Pradesh,"07/2022
01/2023",2.02,
80,Madhya Pradesh,"07/2022
09/2023",9.39,
81,Madhya Pradesh,"08/2019
08/2019",56.88,
82,Madhya Pradesh,"02/2025
02/2025",1.32,
83,Madhya Pradesh,"05/2025
05/2025",0.3,
84,Maharashtra,"02/2020
05/2022",33.91,
85,Maharashtra,"08/2015
08/2015",80.77,
86,Maharashtra,"02/2020
02/2020",40.54,
87,Maharashtra,"02/2019
10/2021",19.02,
88,Maharashtra,"01/2022
01/2022",69.33,
89,Maharashtra,"08/2020
08/2020",32.21,
90,Maharashtra,"05/2019
09/2022",24.17,
91,Maharashtra,"06/2022
06/2022",12.2,
92,Maharashtra,"05/2022
05/2022",9.57,
93,Maharashtra,"04/2021
04/2021",8.44,
94,Maharashtra,"01/2023
09/2023",2.82,
95,Maharashtra,"12/2022
12/2022",5.17,
96,Maharashtra,"10/2023
10/2023",2.19,
97,Maharashtra,"03/2021
03/2021",12.83,
98,Maharashtra,"04/2024
04/2024",4.21,
99,Maharashtra,"08/2023
06/2024",2.31,
100,Maharashtra,"02/2017
09/2022",15.95,
101,Maharashtra,"06/2024
06/2024",27.92,
102,Maharashtra,"08/2016
08/2016",79.83,
103,Maharashtra,"11/2018
01/2019",93.51,
104,Maharashtra,"09/2018
09/2018",98.97,
105,Maharashtra,"11/2018
11/2018",86.49,
106,Maharashtra,"09/2024
09/2024",2.52,
107,Maharashtra,"01/2024
01/2025",0.01,
108,Maharashtra,"06/2024
02/2025",0.35,
109,Maharashtra,"08/2025
08/2025",0.0,
110,"Multi-States
(Madhya Pradesh,
Uttar Pradesh)","08/2020
08/2020",89.9,
111,"Multi-States
(Madhya Pradesh,
Uttar Pradesh)","06/2021
06/2021",55.57,
112,Odisha,"05/2021
05/2021",45.57,
113,Odisha,"02/2021
02/2021",59.5,
114,Odisha,"08/2020
08/2020",57.15,
115,Odisha,"04/2022
04/2022",34.54,
116,Odisha,"05/2018
05/2018",79.05,
117,Odisha,"11/2018
11/2018",52.0,
118,Odisha,"05/2014
05/2014",67.58,
119,Odisha,"03/2020
03/2020",80.0,
120,Odisha,"04/2023
04/2023",6.18,
121,Odisha,"03/2024
03/2024",32.47,
122,Odisha,"11/2022
11/2022",29.19,
123,Odisha,"04/2023
04/2023",15.24,
124,Odisha,"10/2022
05/2023",72.65,
125,Telangana,"12/2021
12/2021",20.0,
126,Telangana,"03/2016
05/2017",75.0,
127,Telangana,"07/2019
05/2019",71.0,
128,Telangana,"08/2017
12/2022",81.0,
129,Telangana,"07/2021
08/2021",32.0,
130,Telangana,"10/2020
06/2020",97.0,
131,Telangana,"08/2017
09/2017",63.0,
132,West Bengal,"11/2020
11/2020",31.52,
133,West Bengal,"08/2021
08/2021",17.1,
134,West Bengal,"08/2018
08/2018",27.52,
135,West Bengal,"05/2018
05/2018",14.61,
136,West Bengal,"01/2023
01/2023",11.9,
137,West Bengal,"04/2020
04/2020",45.48,
138,West Bengal,"07/2021
07/2021",18.47,
139,West Bengal,"12/2015
03/2019",97.6,
140,West Bengal,"12/2023
12/2023",8.35,
141,West Bengal,"04/2020
04/2020",16.79,
142,West Bengal,"01/2023
01/2023",22.13,
143,West Bengal,"11/2024
11/2024",0.22,
144,Gujarat,"07/2022
01/2024",51.0,
145,Gujarat,"08/2023
06/2024",40.0,
146,Gujarat,"07/2022
03/2024",0.0,
147,Gujarat,"07/2022
04/2024",1.2,
148,Odisha,"01/2017
01/2024",2.1,
149,Rajasthan,"07/2022
03/2023",100.0,
150,Rajasthan,"10/2024
09/2025",0.0,
151,Tamil Nadu,"08/2023
02/2024",100.0,
152,Uttar Pradesh,"07/2016
08/2016",95.68,
153,Chhattisgarh,"05/2018
03/2017",43.5,
154,Jharkhand,"02/2018
05/2022",71.0,
155,Jharkhand,"07/2016
10/2016",36.0,
156,Jharkhand,"02/2019
09/2019",67.86,
157,Arunachal Pradesh,"02/2023
02/2023",17.43,
158,Arunachal Pradesh,"12/2024
05/2025",4.95,
159,Arunachal Pradesh,"12/2024
05/2025",5.04,
160,Arunachal Pradesh,"09/2025
09/2025",6.41,
161,Arunachal Pradesh,"04/2026
04/2026",0.0,
162,Bihar,"03/2019
06/2019",94.33,
163,Bihar,"11/2024
03/2025",10.17,
164,Chhattisgarh,"08/2023
08/2023",28.6,
165,Chhattisgarh,"09/2024
09/2024",18.91,
166,Gujarat,"03/2021
05/2021",51.86,
167,Himachal Pradesh,"10/2020
05/2021",77.51,
168,Himachal Pradesh,"11/2020
11/2020",51.32,
169,Himachal Pradesh,"01/2023
01/2023",33.98,
170,"Jammu and
Kashmir","10/2014
02/2018",80.5,
171,"Jammu and
Kashmir","03/2019
02/2020",83.46,
172,"Jammu and
Kashmir","02/2021
01/2022",29.85,
173,"Jammu and
Kashmir","05/2022
11/2022",34.21,
174,Jharkhand,"11/2017
11/2017",88.74,
175,Jharkhand,"04/2023
11/2024",11.0,
176,Madhya Pradesh,"11/2024
05/2025",7.5,
177,"Multi-States
(Arunachal
Pradesh, Assam)","09/2003
01/2005",97.64,
178,Odisha,"08/2022
09/2022",50.2,
179,Odisha,"11/2025
11/2025",1.95,
180,Sikkim,"03/2019
03/2020",72.51,
181,Sikkim,"03/2021
08/2021",96.53,
182,Uttar Pradesh,"03/2024
03/2024",19.8,
183,Uttarakhand,"11/2006
11/2006",77.0,
184,Uttarakhand,"08/2008
01/2014",80.0,
185,West Bengal,"01/2023
02/2025",9.4,
186,West Bengal,"09/2014
09/2014",55.06,
187,West Bengal,"06/2019
02/2021",96.0,
188,Andhra Pradesh,"09/2023
09/2023",98.34,
189,Andhra Pradesh,"03/2025
03/2025",26.19,
190,Arunachal Pradesh,"08/2025
08/2025",1.5,
191,Delhi,"11/2023
10/2024",7.75,
192,Gujarat,"12/2023
12/2023",62.0,
193,Gujarat,"05/2024
05/2024",56.0,
194,Gujarat,"10/2024
10/2024",13.5,
195,Gujarat,"11/2024
11/2024",6.0,
196,Gujarat,"10/2024
10/2024",27.59,
197,Gujarat,"02/2025
02/2025",22.5,
198,Gujarat,"03/2025
03/2025",36.0,
199,Gujarat,"02/2025
02/2025",1.5,
200,Gujarat,"NA
10/2024",18.0,
201,Gujarat,"03/2025
03/2025",1.5,
202,Gujarat,"NA
12/2025",1.0,
203,Gujarat,"09/2024
09/2024",18.0,
204,Gujarat,"08/2024
08/2024",58.0,
205,"Jammu and
Kashmir","07/2024
07/2024",1.7,
206,Jharkhand,"02/2012
02/2012",96.0,
207,Karnataka,"12/2023
12/2023",86.0,
208,Karnataka,"01/2025
01/2025",22.5,
209,Karnataka,"02/2025
02/2025",7.2,
210,Karnataka,"03/2025
03/2025",13.41,
211,Karnataka,"09/2025
09/2025",2.5,
212,Karnataka,"02/2026
02/2026",1.0,
213,Kerala,"08/2025
08/2025",1.5,
214,Madhya Pradesh,"10/2024
10/2024",39.24,
215,Madhya Pradesh,"08/2024
08/2024",57.8,
216,Madhya Pradesh,"06/2024
06/2024",35.03,
217,Madhya Pradesh,"06/2025
06/2025",9.75,
218,Madhya Pradesh,"10/2025
10/2025",2.5,
219,Madhya Pradesh,"03/2025
03/2025",17.0,
220,Maharashtra,"11/2023
11/2023",94.8,
221,Maharashtra,"NA
05/2025",5.0,
222,Maharashtra,"03/2026
03/2026",0.5,
223,"Multi-States
(Andhra Pradesh,
Karnataka)","03/2025
03/2025",17.86,
224,"Multi-States
(Andhra Pradesh,
Karnataka)","08/2024
03/2025",40.0,
225,"Multi-States
(Andhra Pradesh,
Odisha)","02/2026
02/2026",1.0,
226,"Multi-States
(Andhra Pradesh,
Telangana)","11/2022
03/2023",99.69,
227,"Multi-States
(Arunachal
Pradesh, Sikkim)","10/2014
10/2014",83.4,
228,"Multi-States
(Assam, Manipur,
Meghalaya,
Mizoram,
Nagaland, Tripura)","12/2014
03/2016",98.5,
229,"Multi-States
(Bihar, Odisha,
West Bengal)","09/2024
09/2024",29.73,
230,"Multi-States
(Bihar, Uttar
Pradesh)","10/2025
10/2025",2.0,
231,"Multi-States
(Bihar, West
Bengal)","11/2024
11/2024",1.5,
232,"Multi-States
(Dadra & Nagar
Haveli and Daman
& Diu, Gujarat,
Maharashtra)","01/2022
07/2022",99.9,
233,"Multi-States (Delhi,
Rajasthan)","12/2022
12/2022",56.75,
234,"Multi-States (Delhi,
Rajasthan)","02/2024
02/2024",85.45,
235,"Multi-States
(Gujarat,
Maharashtra)","11/2024
11/2024",9.67,
236,"Multi-States
(Haryana, Punjab,
Rajasthan)","11/2024
11/2024",24.07,
237,"Multi-States
(Haryana,
Rajasthan)","11/2024
11/2024",28.27,
238,"Multi-States
(Karnataka,
Maharashtra)","10/2025
10/2025",2.5,
239,"Multi-States
(Karnataka,
Telangana)","02/2024
02/2024",89.46,
240,"Multi-States
(Madhya Pradesh,
Rajasthan)","08/2024
08/2024",38.74,
241,"Multi-States
(Madhya Pradesh,
Rajasthan)","08/2024
08/2024",39.4,
242,"Multi-States
(Madhya Pradesh,
Rajasthan)","03/2025
03/2025",24.07,
243,"Multi-States
(Madhya Pradesh,
Rajasthan, Uttar
Pradesh)","01/2025
01/2025",2.0,
244,"Multi-States
(Rajasthan, Uttar
Pradesh)","12/2023
12/2023",72.16,
245,"Multi-States
(Rajasthan, Uttar
Pradesh)","12/2024
12/2024",31.37,
246,Rajasthan,"11/2023
11/2023",98.4,
247,Rajasthan,"10/2023
10/2023",98.33,
248,Rajasthan,"10/2023
10/2023",99.0,
249,Rajasthan,"12/2023
12/2023",72.22,
250,Rajasthan,"08/2024
08/2024",47.13,
251,Rajasthan,"08/2024
08/2024",42.0,
252,Rajasthan,"08/2024
08/2024",63.85,
253,Rajasthan,"11/2024
11/2024",31.48,
254,Rajasthan,"03/2025
03/2025",9.8,
255,Tamil Nadu,"01/2025
01/2025",18.72,
256,Uttar Pradesh,"12/2024
12/2024",3.0,
257,Telangana,"03/2024
11/2024",21.0,
258,"Andaman &
Nicobar","07/2021
11/2021",70.0,
259,Delhi,"07/2016
05/2018",46.8,
260,Gujarat,"02/2016
06/2016",98.5,
261,Uttarakhand,"11/2019
08/2019",40.0,
262,Bihar,"02/2019
02/2019",50.0,
263,Delhi,"03/2024
03/2024",3.64,
264,Delhi,"01/2026
01/2026",5.34,
265,Delhi,"07/2019
07/2019",80.56,
266,Gujarat,"03/2019
04/2019",79.5,
267,Gujarat,"11/2014
02/2015",99.99,
268,Haryana,"07/2023
08/2024",0.0,
269,Karnataka,"NA
06/2026",0.0,
270,Karnataka,"02/2014
02/2016",95.5,
271,Karnataka,"06/2021
01/2019",65.0,
272,Kerala,"11/2022
11/2022",36.17,
273,Madhya Pradesh,"11/2018
11/2018",59.94,
274,Madhya Pradesh,"11/2018
11/2018",64.15,
275,Maharashtra,"10/2023
10/2023",41.58,
276,Maharashtra,"09/2024
09/2024",5.2,
277,Maharashtra,"09/2024
09/2024",8.25,
278,Maharashtra,"07/2025
07/2025",1.38,
279,Maharashtra,"12/2025
12/2025",0.48,
280,Maharashtra,"04/2018
03/2019",6.0,
281,Maharashtra,"04/2018
07/2020",82.0,
282,Maharashtra,"07/2013
06/2016",97.79,
283,Maharashtra,"12/2022
12/2022",38.0,
284,"Multi-States (Delhi,
Haryana)","01/2025
01/2025",0.0,
285,Tamil Nadu,"10/2024
11/2020",52.55,
286,Uttar Pradesh,"09/2025
05/2026",1.0,
287,Uttar Pradesh,"05/2019
11/2019",80.9,
288,Uttar Pradesh,"05/2019
12/2020",69.5,
289,Andhra Pradesh,"02/2017
07/2018",82.0,
290,Bihar,"11/2016
02/2019",84.0,
291,"Dadra & Nagar
Haveli and Daman
& Diu","08/2020
12/2021",20.0,
292,Haryana,"03/2017
11/2017",88.0,
293,Jharkhand,"02/2017
12/2018",76.0,
294,Jharkhand,"02/2017
12/2018",67.0,
295,Jharkhand,"02/2017
12/2018",81.0,
296,Karnataka,"12/2015
10/2016",80.0,
297,Madhya Pradesh,"12/2016
11/2017",99.0,
298,Madhya Pradesh,"11/2015
12/2016",96.0,
299,Madhya Pradesh,"05/2016
11/2017",90.0,
300,Maharashtra,"07/2016
09/2019",75.0,
301,Maharashtra,"11/2016
08/2018",99.0,
302,Maharashtra,"03/2017
07/2017",95.0,
303,Maharashtra,"03/2017
04/2018",98.0,
304,Punjab,"11/2016
08/2020",58.0,
305,Punjab,"11/2016
08/2020",99.0,
306,Uttar Pradesh,"03/2017
06/2019",95.0,
307,Uttar Pradesh,"NA
05/2019",95.0,
308,West Bengal,"04/2019
02/2020",64.0,
309,Madhya Pradesh,"09/2011
04/2015",84.87,
310,Odisha,"04/2017
04/2017",94.2,
311,Odisha,"05/2018
05/2018",52.1,
312,Odisha,"11/2017
11/2019",92.35,
313,Tamil Nadu,"09/2017
12/2017",66.73,
314,Andhra Pradesh,"09/2019
12/2023",44.0,
315,Arunachal Pradesh,"09/2009
03/2013",80.0,
316,Assam,"05/2019
06/2021",97.7,
317,Bihar,"07/2022
08/2022",98.5,
318,Chhattisgarh,"05/2025
01/2026",0.0,
319,Delhi,"09/2009
11/2022",99.72,
320,Delhi,"09/2024
03/2025",12.0,
321,Gujarat,"12/2020
02/2021",85.0,
322,Himachal Pradesh,"09/2018
08/2020",97.5,
323,Himachal Pradesh,"03/2023
03/2024",82.0,
324,Himachal Pradesh,"03/2021
08/2022",85.0,
325,"Jammu and
Kashmir","03/2019
10/2020",96.0,
326,Kerala,"07/2017
03/2020",86.0,
327,Kerala,"05/2025
01/2026",0.0,
